EnergyName,Value
Energy intensity level of primary energy (MJ/$2011 PPP GDP),28
Access to electricity rural (% of rural population),1100
Access to electricity urban (% of urban population),1100
Access to electricity (% of population),1100
CO2 emissions from gaseous fuel consumption (% of total),276
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),2060
Pump price for diesel fuel (US$ per liter),8
Pump price for gasoline (US$ per liter),9
Renewable energy consumption (% of total final energy consumption),401
Time required to get electricity (days),726
